Age,Gender,Stream,Internships,CGPA,HistoryOfBacklogs,teamworking,problemSolvingskills,techSkillsLevel,comSkillsLevel,resumeLevel,projectsNo,easyProjects,mediumProjects,hardProjects,advancedProjects,personalityLevel,achievementsType,winnerNo,runnerNo,participantNo
22,Male,Information Technology,1,7.21,0,1,4,6,4,5,0,4,3,2,4,9,hackathon,0,1,7
22,Male,Information Technology,1,9.34,0,2,1,4,4,8,6,1,4,2,1,9,hackathon and extracurricular,2,2,1
21,Male,Information Technology,0,6.95,0,2,3,2,7,4,2,4,3,4,2,8,hackathon and others,3,3,6
22,Male,Mechanical,1,8.76,0,2,8,4,3,3,4,1,1,2,4,2,coding competition,0,4,7
21,Male,Electrical,1,8.30,0,2,6,5,3,3,0,1,1,4,0,1,hackathon and coding competition,0,1,5
21,Female,Civil,1,6.31,0,2,2,6,9,3,6,4,2,2,2,2,coding competition,2,1,7
21,Male,Electrical,0,7.08,0,2,4,0,6,3,2,4,2,4,0,10,hackathon and extracurricular,3,1,7
21,Male,Computer Science,1,7.27,0,1,5,2,9,6,2,4,3,0,1,8,hackathon and coding competition,2,0,6
21,Male,Information Technology,1,6.11,0,1,1,6,4,4,6,1,2,2,4,9,hackathon and coding competition,0,4,7
22,Male,Civil,0,9.54,0,3,3,5,3,5,1,0,0,0,0,8,hackathon and coding competition,0,0,6
22,Male,Computer Science,1,9.99,0,3,10,4,7,4,1,0,2,3,3,9,coding competition,1,3,7
22,Male,Information Technology,1,6.71,0,3,1,7,5,9,5,2,2,1,4,7,hackathon and extracurricular,0,2,7
22,Male,Electronics And Communication,0,7.72,1,1,4,8,8,8,2,4,1,1,1,5,hackathon and others,3,4,7
22,Male,Electrical,1,6.92,1,2,7,4,7,4,3,3,1,3,1,9,hackathon and coding competition,2,1,1
22,Male,Civil,0,8.15,0,1,9,8,9,6,3,1,1,2,0,4,hackathon,2,1,4
21,Male,Electrical,1,8.23,1,2,3,7,7,4,5,2,1,0,2,5,hackathon and extracurricular,2,1,2
21,Male,Electrical,1,8.28,0,1,1,3,7,5,5,3,1,3,4,4,hackathon,0,2,6
22,Female,Information Technology,2,8.50,0,2,5,3,9,6,1,2,3,3,2,5,hackathon and extracurricular,1,3,1
21,Female,Electronics And Communication,3,8.03,0,2,4,8,4,8,1,4,2,3,2,8,coding competition,2,2,5
22,Male,Computer Science,1,6.73,0,2,2,7,7,6,0,4,0,0,1,5,hackathon,0,1,7
21,Male,Electronics And Communication,1,6.07,1,4,10,7,4,6,4,2,2,4,4,1,coding competition,0,0,3
21,Male,Information Technology,2,8.05,0,2,2,4,7,8,5,1,3,4,3,10,hackathon,1,1,2
21,Female,Electronics And Communication,0,7.06,0,2,7,2,5,9,4,3,4,3,1,4,coding competition,2,3,6
22,Male,Electronics And Communication,0,6.68,0,2,6,1,4,7,1,4,1,1,4,3,hackathon and coding competition,0,0,3
21,Male,Electrical,1,7.48,0,2,10,6,5,9,5,3,3,4,3,2,hackathon and coding competition,0,0,2
21,Female,Computer Science,1,6.06,0,1,1,3,4,6,4,2,4,1,1,4,hackathon,2,0,2
21,Male,Electrical,3,6.91,1,1,9,2,3,7,4,0,4,1,1,9,hackathon and others,2,0,2
21,Female,Electronics And Communication,3,6.57,0,1,4,8,6,8,4,3,1,2,1,10,hackathon and others,1,4,2
21,Male,Computer Science,1,9.02,0,2,6,3,6,9,2,4,4,0,3,10,coding competition,0,4,4
21,Male,Electronics And Communication,0,8.43,0,2,9,4,7,7,2,3,1,1,1,8,hackathon and others,0,4,4
21,Male,Civil,0,9.75,0,2,1,0,8,3,5,4,3,3,1,1,hackathon and extracurricular,3,3,4
21,Male,Electronics And Communication,0,8.10,0,2,6,5,6,7,2,1,1,3,2,10,hackathon and coding competition,2,1,3
21,Female,Electrical,1,7.22,0,2,8,8,4,6,4,2,2,3,0,3,hackathon and extracurricular,1,4,4
21,Male,Computer Science,2,8.87,1,2,10,1,7,9,6,3,2,4,3,3,hackathon,2,2,5
22,Male,Computer Science,0,9.03,0,1,7,2,9,6,5,2,4,4,4,1,hackathon,1,4,4
21,Male,Information Technology,0,9.57,0,2,4,8,8,6,0,4,4,3,3,7,hackathon and extracurricular,2,1,3
21,Male,Information Technology,0,6.13,0,3,8,4,5,5,2,3,2,0,4,1,hackathon and extracurricular,1,2,5
21,Male,Information Technology,1,6.05,0,2,4,5,7,8,4,4,3,3,1,7,hackathon and others,3,0,3
22,Male,Mechanical,0,6.32,0,2,5,0,9,8,1,0,3,3,2,9,coding competition,0,3,1
22,Male,Computer Science,1,8.65,0,4,3,2,9,7,1,3,2,1,3,8,coding competition,1,1,6
21,Male,Information Technology,0,8.33,0,4,9,1,3,9,4,2,1,4,3,7,hackathon and others,2,2,3
22,Male,Computer Science,2,8.40,0,2,7,1,9,6,2,2,0,3,4,10,coding competition,3,0,3
21,Male,Mechanical,0,8.17,1,4,9,5,4,4,6,2,1,4,3,2,hackathon and extracurricular,1,3,6
22,Male,Electrical,1,6.53,0,4,5,6,7,7,0,4,1,1,0,2,hackathon and extracurricular,3,2,4
22,Male,Information Technology,0,7.84,0,4,3,6,6,8,5,0,0,0,4,8,coding competition,0,0,3
22,Male,Computer Science,3,9.75,0,2,7,2,7,9,5,1,1,3,4,2,hackathon,2,2,5
21,Male,Information Technology,0,7.93,0,1,9,2,7,9,6,0,1,2,1,10,hackathon and extracurricular,3,3,2
22,Male,Information Technology,1,7.63,0,2,6,2,4,5,3,4,2,0,2,5,hackathon and coding competition,2,0,1
21,Male,Civil,0,9.13,0,2,5,7,3,4,1,4,1,2,0,8,hackathon and coding competition,3,4,5
21,Male,Mechanical,0,7.94,0,4,7,0,7,9,6,1,2,3,0,6,coding competition,2,1,4
22,Male,Mechanical,0,7.42,1,4,4,6,5,7,0,2,0,2,1,9,hackathon and coding competition,3,4,1
22,Male,Information Technology,0,9.19,0,1,8,8,9,4,2,4,1,1,1,9,hackathon and others,2,1,4
21,Male,Computer Science,1,8.44,0,2,10,7,5,9,3,0,2,4,0,3,hackathon and extracurricular,1,4,5
21,Male,Civil,0,7.14,0,1,8,1,8,8,6,2,4,0,2,5,hackathon,0,4,3
21,Male,Computer Science,1,6.62,0,3,5,1,3,7,4,1,2,3,3,6,hackathon,3,2,1
22,Male,Mechanical,0,6.19,0,2,9,7,8,7,6,4,2,2,1,9,hackathon and coding competition,2,4,4
21,Male,Information Technology,0,9.38,0,2,7,4,6,5,2,3,3,0,4,5,hackathon and others,1,3,5
21,Male,Mechanical,0,7.06,0,2,3,5,5,4,4,3,3,2,1,3,hackathon and extracurricular,0,2,7
21,Male,Electronics And Communication,2,7.94,0,2,3,3,6,5,0,2,4,2,2,2,hackathon and others,2,4,7
21,Male,Computer Science,0,6.08,0,2,2,4,8,8,3,3,2,4,0,4,coding competition,3,3,7
21,Male,Computer Science,0,8.98,0,3,9,4,9,8,0,4,0,4,1,6,coding competition,2,4,2
22,Female,Civil,1,7.40,0,2,1,7,8,6,5,4,2,3,1,10,hackathon and others,3,3,6
22,Male,Mechanical,1,7.93,0,2,5,2,6,7,3,2,1,2,1,6,hackathon and others,2,0,7
21,Male,Civil,1,7.35,1,3,5,3,3,4,0,0,1,0,2,2,hackathon and extracurricular,2,4,3
22,Male,Information Technology,1,6.08,0,1,5,0,9,3,6,0,3,2,2,10,hackathon,3,3,2
21,Male,Electrical,1,9.16,0,2,6,7,7,8,3,1,3,2,2,2,hackathon,3,1,6
22,Female,Information Technology,2,6.70,0,2,10,0,7,6,1,3,1,4,0,4,hackathon and coding competition,2,1,2
22,Male,Electronics And Communication,0,6.62,0,4,4,8,6,6,0,4,1,1,4,7,coding competition,2,0,6
22,Male,Computer Science,1,6.72,0,4,9,4,6,7,5,2,3,1,0,2,hackathon,3,4,7
21,Male,Computer Science,2,9.57,0,1,9,7,3,9,2,4,4,4,1,2,hackathon,1,4,3
22,Male,Information Technology,0,6.48,0,2,8,4,9,7,0,0,2,4,2,10,hackathon and others,2,3,1
22,Female,Information Technology,0,7.81,0,1,4,2,5,7,0,3,3,4,4,4,hackathon and coding competition,3,3,1
21,Male,Mechanical,0,6.05,0,3,6,0,5,8,2,2,2,2,0,1,hackathon and others,2,3,1
23,Male,Computer Science,0,9.70,0,1,3,1,3,9,2,1,0,4,4,7,hackathon and extracurricular,0,0,3
23,Male,Civil,0,7.67,0,3,9,9,4,3,4,0,0,0,3,6,hackathon,3,1,7
23,Male,Mechanical,1,7.23,0,1,2,0,8,6,3,4,4,4,0,8,coding competition,0,3,2
24,Male,Information Technology,2,8.22,0,2,2,8,6,3,0,0,0,3,3,2,coding competition,2,0,2
23,Male,Electrical,0,7.94,0,2,6,8,4,5,1,2,2,1,3,1,coding competition,1,3,7
23,Male,Information Technology,1,7.15,0,4,8,5,6,3,5,3,4,2,1,6,hackathon and coding competition,3,0,4
24,Female,Information Technology,0,7.79,0,4,9,5,6,7,2,2,2,2,1,3,hackathon and others,2,3,7
24,Male,Information Technology,1,7.38,0,3,7,5,4,3,3,2,2,3,1,7,hackathon and coding competition,3,2,7
24,Male,Civil,1,9.65,1,4,1,1,7,4,3,2,2,3,1,4,hackathon and coding competition,3,3,3
23,Male,Information Technology,1,9.62,0,3,1,6,6,6,2,3,3,0,3,6,hackathon,2,0,3
23,Male,Information Technology,1,9.31,0,1,7,3,4,3,6,4,1,0,0,8,hackathon,1,1,3
24,Male,Electronics And Communication,1,7.29,1,3,1,6,6,7,6,3,1,1,1,6,coding competition,3,1,5
24,Male,Electrical,0,7.38,0,2,1,3,7,7,6,4,3,1,3,7,coding competition,3,0,1
23,Male,Information Technology,1,9.97,0,1,2,5,3,9,5,3,2,0,0,10,coding competition,2,1,1
24,Male,Computer Science,0,6.35,0,2,9,2,6,7,6,4,4,2,4,9,coding competition,2,4,1
23,Male,Electrical,0,9.46,0,2,4,1,9,5,0,1,1,1,2,3,hackathon,2,1,3
23,Male,Information Technology,1,9.66,0,2,7,0,9,6,5,0,2,4,1,6,coding competition,2,0,5
23,Male,Information Technology,1,7.95,0,1,7,5,6,6,4,4,1,0,4,1,hackathon and others,0,1,2
24,Male,Information Technology,3,8.70,1,2,8,4,5,7,2,1,0,2,0,2,coding competition,0,1,4
23,Male,Mechanical,0,6.10,0,1,7,0,4,5,6,2,0,0,0,6,hackathon,0,3,6
23,Female,Information Technology,2,7.75,0,2,8,8,8,6,4,3,0,2,4,4,hackathon and others,0,0,2
23,Male,Electronics And Communication,1,7.22,0,4,9,6,5,9,5,0,0,1,0,10,hackathon and extracurricular,2,0,5
23,Male,Information Technology,1,7.23,0,2,1,4,3,3,6,0,3,1,4,9,hackathon,2,1,5
23,Male,Information Technology,1,8.89,0,1,5,9,4,3,4,3,3,1,4,8,hackathon,1,0,2
23,Male,Mechanical,2,8.32,0,2,8,3,8,3,1,3,1,0,3,9,hackathon and others,1,2,2
24,Male,Information Technology,1,9.91,0,1,4,8,3,4,3,3,1,1,2,8,coding competition,1,2,2
24,Male,Information Technology,1,9.35,0,2,7,9,8,6,3,0,4,1,3,1,hackathon and coding competition,3,0,5
24,Male,Computer Science,2,6.71,0,2,2,6,7,7,0,3,2,4,2,4,hackathon and coding competition,3,4,1
24,Male,Electronics And Communication,0,6.59,0,1,4,7,5,9,1,1,4,2,3,1,hackathon and coding competition,2,2,4
24,Male,Information Technology,1,7.46,0,3,9,8,4,9,0,3,3,0,4,5,hackathon,2,0,6
23,Male,Mechanical,0,9.73,1,3,4,0,8,9,4,3,0,1,2,2,hackathon,3,2,1
23,Male,Computer Science,0,8.23,0,2,7,0,7,6,0,1,2,2,0,5,hackathon and others,2,4,3
23,Female,Mechanical,1,8.06,0,1,4,8,6,5,6,0,0,1,1,10,coding competition,0,0,3
24,Male,Computer Science,1,6.55,0,1,2,1,7,7,4,3,3,3,2,7,coding competition,1,3,7
23,Male,Mechanical,1,6.48,1,1,9,4,9,8,1,4,1,3,1,9,hackathon and others,3,1,2
24,Male,Computer Science,0,9.56,0,1,5,3,6,8,1,3,1,4,1,1,hackathon,0,0,6
24,Male,Mechanical,0,6.78,0,1,4,0,3,6,2,2,3,2,2,2,hackathon and others,2,0,5
24,Male,Information Technology,0,6.66,0,1,6,5,7,3,0,0,0,0,3,2,hackathon and others,2,2,3
23,Male,Electrical,0,7.26,0,2,7,0,4,4,3,3,0,4,1,1,hackathon and others,1,1,4
24,Male,Electrical,0,8.26,0,3,4,6,7,5,0,3,4,0,0,3,hackathon and others,0,2,4
23,Male,Computer Science,1,8.01,0,2,1,1,5,9,3,0,1,4,0,10,hackathon,2,3,2
23,Male,Electronics And Communication,0,7.89,0,2,4,1,5,5,3,1,3,2,1,4,hackathon and others,0,0,2
24,Male,Information Technology,3,7.02,0,1,8,8,8,3,1,3,2,2,4,1,hackathon and coding competition,0,3,6
24,Male,Computer Science,2,8.74,0,3,6,9,8,6,4,2,4,0,3,2,hackathon and coding competition,3,0,5
24,Male,Computer Science,2,6.16,0,1,8,6,9,6,2,3,2,2,4,4,hackathon and extracurricular,3,0,1
23,Male,Civil,0,8.69,0,1,5,0,3,4,6,3,0,2,1,5,hackathon and others,2,2,5
24,Male,Information Technology,1,7.10,0,2,9,9,4,7,1,1,2,1,4,8,hackathon and others,1,1,5
23,Male,Mechanical,0,6.91,1,1,9,3,9,9,0,1,0,1,4,4,hackathon and coding competition,1,0,2
23,Male,Electrical,0,8.31,0,1,2,7,5,9,0,4,2,1,3,3,hackathon and extracurricular,2,4,6
24,Male,Computer Science,1,7.27,0,4,9,2,8,3,0,3,3,3,4,7,hackathon,2,4,2
23,Male,Electrical,0,9.15,0,2,6,8,6,5,2,4,0,4,3,9,hackathon and coding competition,0,4,7
24,Female,Information Technology,0,9.19,0,3,8,5,9,9,5,4,2,1,4,9,coding competition,0,0,6
23,Male,Computer Science,1,7.84,0,1,5,4,3,3,0,4,1,3,4,2,coding competition,1,1,2
23,Female,Electronics And Communication,2,6.13,0,3,3,1,4,8,5,3,4,3,3,10,hackathon,2,0,4
24,Male,Civil,0,8.01,0,1,8,4,4,9,4,1,2,2,3,9,hackathon and extracurricular,2,3,1
24,Male,Electronics And Communication,2,8.91,0,1,2,5,6,5,3,2,2,1,1,2,hackathon and coding competition,2,1,5
23,Male,Information Technology,0,6.03,0,2,5,8,4,4,1,3,0,1,4,8,hackathon,1,4,3
24,Male,Computer Science,2,7.11,0,1,2,6,3,4,0,1,4,4,4,5,coding competition,1,3,6
23,Male,Computer Science,1,6.96,0,2,6,8,9,9,2,4,4,3,0,4,hackathon and coding competition,2,3,2
24,Male,Computer Science,0,7.08,1,2,3,2,3,6,2,4,1,4,1,8,coding competition,3,1,2
22,Male,Electronics And Communication,0,9.31,0,2,3,6,7,4,6,4,1,4,1,8,coding competition,3,4,4
22,Male,Mechanical,0,6.21,0,1,8,7,3,3,6,0,0,4,1,2,hackathon and others,3,4,6
22,Male,Computer Science,1,6.19,0,1,10,1,3,5,3,2,4,1,1,10,coding competition,2,4,4
21,Male,Computer Science,1,9.15,0,1,1,0,9,8,1,1,2,2,2,10,hackathon and others,3,1,5
21,Male,Civil,3,8.28,0,1,9,6,9,5,2,4,4,1,1,6,hackathon,2,1,1
21,Male,Computer Science,0,7.65,1,3,9,6,8,8,3,3,3,4,4,7,coding competition,2,2,5
21,Male,Electrical,0,9.92,0,1,4,4,6,5,5,0,0,3,2,10,coding competition,2,3,7
21,Female,Information Technology,1,9.79,0,1,8,1,8,7,5,4,2,4,0,8,hackathon,3,1,3
22,Male,Computer Science,1,6.47,0,2,5,4,6,6,1,4,3,2,4,2,coding competition,0,4,7
22,Male,Computer Science,1,6.38,0,1,1,6,7,7,2,1,0,0,4,3,hackathon and coding competition,3,4,1
21,Male,Civil,1,7.98,0,1,10,7,3,9,3,3,0,4,0,1,hackathon and others,2,3,2
21,Female,Information Technology,2,8.71,0,1,10,9,5,3,0,1,2,3,2,6,hackathon and extracurricular,3,4,3
21,Male,Information Technology,1,9.90,0,2,4,4,3,6,4,2,0,4,4,9,hackathon and extracurricular,2,4,5
22,Male,Civil,0,9.79,0,1,9,0,4,6,3,3,0,1,1,10,coding competition,1,0,3
22,Male,Civil,0,6.02,1,1,9,2,7,4,5,3,4,4,1,5,hackathon and extracurricular,0,3,6
21,Male,Information Technology,0,8.12,0,2,10,4,9,5,4,2,3,2,0,5,coding competition,0,1,7
21,Male,Electronics And Communication,0,6.65,0,1,4,7,8,8,3,3,4,1,0,1,coding competition,1,4,7
22,Female,Information Technology,1,8.96,0,1,9,4,5,6,3,3,4,3,4,1,hackathon and coding competition,3,0,7
22,Male,Electrical,1,7.44,0,2,6,7,7,9,4,3,4,1,2,2,hackathon and others,3,2,2
21,Female,Mechanical,1,8.56,0,1,2,4,9,8,3,4,3,3,1,6,coding competition,2,0,5
22,Female,Information Technology,1,9.46,0,2,6,5,7,3,1,0,0,3,3,8,coding competition,1,3,6
22,Male,Computer Science,2,9.36,0,2,3,8,9,4,0,0,0,1,4,9,hackathon and others,1,1,7
21,Male,Electronics And Communication,1,9.04,1,2,3,7,3,6,5,0,3,4,1,6,hackathon and extracurricular,0,1,3
22,Male,Civil,0,8.17,0,2,3,3,4,4,2,2,4,3,1,6,hackathon and coding competition,3,4,3
21,Male,Electrical,2,9.46,1,1,5,2,4,3,4,3,4,4,3,1,hackathon and coding competition,2,4,1
22,Male,Civil,1,8.35,0,2,5,3,7,4,0,2,2,0,1,5,coding competition,2,3,6
21,Female,Computer Science,1,7.34,0,2,7,6,3,3,0,0,4,1,1,5,hackathon,3,1,2
21,Male,Computer Science,1,7.72,0,2,10,9,7,3,6,1,0,0,1,5,hackathon,1,4,2
22,Female,Electronics And Communication,1,8.14,0,2,4,1,8,4,6,1,1,1,4,10,hackathon and coding competition,3,0,2
21,Female,Information Technology,0,9.12,0,2,6,3,7,4,3,4,2,1,4,4,hackathon and extracurricular,1,4,5
22,Male,Computer Science,0,9.99,0,2,8,3,9,9,2,4,0,2,4,5,coding competition,1,0,5
22,Male,Computer Science,0,6.53,0,2,8,0,6,7,4,3,3,4,0,1,hackathon and coding competition,1,0,1
21,Male,Mechanical,0,6.51,0,1,6,5,4,4,5,3,3,0,3,7,coding competition,2,3,6
21,Male,Computer Science,0,6.08,0,2,10,1,9,9,3,1,1,3,0,4,hackathon and coding competition,3,0,3
21,Male,Information Technology,0,8.73,1,2,5,0,5,6,3,0,1,4,1,8,coding competition,0,4,6
22,Female,Computer Science,1,7.28,0,2,5,1,5,5,4,2,0,2,0,3,hackathon and others,0,3,3
21,Male,Electronics And Communication,2,6.38,1,2,2,8,6,6,5,4,1,2,3,4,hackathon and others,2,4,5
21,Male,Information Technology,1,7.27,1,2,8,4,9,9,6,3,2,1,4,10,hackathon,3,0,6
22,Female,Computer Science,2,8.48,0,2,6,4,3,5,0,4,0,4,1,9,hackathon and coding competition,2,4,6
21,Male,Computer Science,0,7.79,0,2,5,3,7,6,3,4,2,1,3,7,hackathon and coding competition,2,0,3
21,Male,Computer Science,2,7.28,0,1,2,4,7,6,4,3,1,1,1,3,hackathon and extracurricular,1,2,7
22,Male,Computer Science,1,6.05,0,2,3,2,5,6,1,2,4,0,4,6,hackathon,1,3,7
21,Female,Information Technology,2,8.09,0,2,3,6,6,6,6,1,4,1,2,9,hackathon and coding competition,1,4,1
21,Male,Electronics And Communication,1,8.91,0,2,8,3,9,3,5,0,0,4,4,10,hackathon and coding competition,3,3,6
21,Female,Computer Science,1,6.58,0,2,7,7,6,8,1,3,2,0,1,1,hackathon and others,3,4,1
21,Male,Mechanical,0,9.77,0,2,10,5,9,8,6,1,2,1,4,3,hackathon and coding competition,2,4,6
22,Male,Mechanical,0,8.57,0,2,10,0,4,4,3,3,3,2,3,6,coding competition,1,4,3
22,Male,Information Technology,1,8.38,0,1,6,2,8,4,3,4,3,4,1,7,hackathon,1,4,5
21,Female,Electrical,0,8.12,0,1,10,8,5,3,4,4,2,1,2,9,coding competition,2,3,2
21,Male,Mechanical,0,6.91,0,2,8,7,5,7,0,0,3,0,3,3,hackathon and coding competition,2,3,3
21,Male,Computer Science,2,9.00,0,1,4,7,6,6,2,4,4,4,2,6,coding competition,0,3,4
21,Male,Information Technology,1,7.92,0,1,10,1,4,9,2,1,3,2,0,3,hackathon and others,2,4,7
22,Male,Information Technology,0,9.06,1,1,3,5,6,5,2,1,1,0,1,8,hackathon and coding competition,0,1,4
22,Male,Information Technology,1,8.40,0,2,6,8,8,6,1,3,4,4,2,8,hackathon,0,3,2
21,Male,Electrical,1,6.25,0,2,6,6,3,8,4,2,0,1,1,10,hackathon and coding competition,1,2,1
21,Female,Civil,1,8.88,0,2,2,7,7,3,0,4,1,0,2,1,hackathon and others,3,3,5
21,Male,Computer Science,3,7.37,0,2,9,3,9,8,5,2,4,1,2,1,hackathon and others,2,3,7
21,Male,Civil,1,9.04,0,1,3,9,9,7,3,1,1,4,0,8,hackathon and extracurricular,0,2,6
22,Male,Electrical,1,9.88,0,4,10,0,8,4,5,1,0,3,1,5,hackathon and extracurricular,1,1,7
21,Male,Electronics And Communication,2,9.96,1,3,9,2,4,7,0,2,1,1,4,2,hackathon and others,1,1,1
22,Male,Electrical,1,7.24,1,2,3,2,6,4,3,1,2,1,3,3,hackathon and extracurricular,1,4,6
22,Male,Computer Science,2,7.00,0,2,7,1,3,9,0,4,1,1,2,8,hackathon and extracurricular,2,1,1
21,Male,Mechanical,1,8.03,1,1,4,1,7,3,0,1,4,1,0,7,hackathon and coding competition,3,0,5
22,Male,Computer Science,0,6.01,0,3,6,0,7,8,4,4,4,0,4,2,hackathon and coding competition,1,3,4
22,Male,Civil,0,9.15,0,4,5,9,7,9,2,0,2,3,1,1,hackathon and extracurricular,3,0,5
21,Male,Civil,0,8.44,0,2,6,6,7,5,0,2,3,4,2,3,coding competition,2,4,2
21,Female,Computer Science,1,6.98,0,2,6,5,4,5,0,0,2,0,1,4,hackathon and extracurricular,1,1,5
21,Male,Computer Science,2,7.12,0,2,8,8,5,8,1,3,2,3,3,6,hackathon,2,1,7
21,Female,Mechanical,1,9.61,0,1,1,1,7,5,1,2,1,0,1,9,hackathon and others,3,3,4
22,Male,Mechanical,0,7.28,0,2,9,3,5,5,5,0,3,1,1,5,hackathon and others,3,1,5
22,Male,Electronics And Communication,1,6.58,0,2,6,7,6,3,1,2,2,4,1,10,hackathon and coding competition,1,4,6
22,Male,Computer Science,1,9.49,0,2,6,9,9,6,2,0,3,1,3,3,hackathon and others,1,0,3
21,Female,Information Technology,0,8.19,0,1,5,7,4,8,5,2,4,4,1,1,coding competition,3,1,4
22,Male,Information Technology,1,7.90,0,3,10,8,6,7,6,0,0,2,0,6,hackathon,2,1,1
21,Male,Information Technology,0,7.85,1,2,9,2,4,7,1,3,4,3,0,4,hackathon and coding competition,2,1,5
22,Male,Computer Science,1,7.74,0,3,1,6,8,7,5,1,0,3,0,2,coding competition,0,4,7
22,Male,Computer Science,1,7.75,0,2,7,1,9,4,1,3,4,0,4,4,hackathon and others,3,2,3
21,Female,Information Technology,2,9.25,0,2,2,3,6,9,2,3,4,3,1,7,hackathon and others,1,3,5
21,Female,Mechanical,1,8.78,0,3,9,5,7,4,1,1,4,2,4,3,coding competition,0,1,7
21,Female,Computer Science,1,6.95,0,2,6,5,7,9,6,1,4,4,1,2,hackathon and extracurricular,1,4,7
22,Female,Information Technology,1,7.81,0,2,8,2,4,6,0,3,0,4,3,7,hackathon and others,1,2,3
22,Female,Computer Science,0,9.81,0,2,7,3,5,3,5,4,3,1,1,2,hackathon and coding competition,2,1,1
21,Male,Information Technology,2,9.86,0,2,7,0,3,4,5,1,1,0,1,7,hackathon and coding competition,3,4,6
22,Male,Civil,0,6.90,1,3,9,9,8,4,4,1,0,0,0,8,hackathon,1,2,7
21,Male,Electrical,1,8.40,0,2,10,2,7,9,4,1,0,0,3,6,hackathon,2,3,4
21,Male,Electronics And Communication,2,8.17,0,2,3,2,7,7,1,0,0,4,0,1,coding competition,3,4,6
21,Male,Mechanical,1,6.99,0,2,2,3,4,7,6,3,4,0,0,8,hackathon and others,3,1,1
22,Male,Civil,0,9.90,0,2,2,6,4,5,0,3,1,2,3,7,hackathon and extracurricular,3,3,6
22,Female,Electrical,1,9.51,0,2,9,9,7,3,1,0,0,1,2,3,hackathon and coding competition,1,4,1
22,Male,Computer Science,0,9.79,0,3,5,5,4,6,2,4,4,4,3,7,hackathon and extracurricular,2,3,4
21,Male,Computer Science,3,8.56,0,2,1,2,6,6,0,4,0,3,4,4,hackathon and extracurricular,2,3,7
